type,,,,class,class,class,class,class,class,class,class,class,class,class,class
,naam,,5HUW,5WWI6A,5WWI6B,5EMT,5EWI,5MWE,5WWI8,5MT,5LMT,5GL,5LWE,5LWI6,5LWI8
,,met BP,24,13,13,7,15,3,5,8,3,1,1,4,2
group,klasgroep1,,1,,,,,,,,,,,,
group,klasgroep2,,,1,,,,1,,1,,,1,,
group,klasgroep3,,,,1,,,,1,,,,,1,1
group,klasgroep4,,,,,1,1,,,,1,1,,,
,,,,,,,,,,,,,,,
course,wisk3a,3,,,,,,,,1,1,,,,
course,wisk3b,3,1,,,,,,,,,,,,
course,wisk4,4,,,,1,,1,,,,1,1,,
course,wisk6,6,,1,1,,1,,,,,,,1,
course,wisk8,8,,,,,,,1,,,,,,1
course,stat,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,
course,fys1,1,,,,,1,,,,,,,1,1
course,fys2,2,,1,1,,,1,1,,,,1,,
course,chemie2a,2,,,,,1,,,,,,,1,1
course,chemie2b,2,,1,1,,,1,1,,,,1,,
course,bio1,1,,,,,1,,,,,,,1,1
course,bio2,2,,1,1,,,1,1,,,,1,,
course,aard1,1,1,,,1,1,,,1,1,1,,1,1
course,aard2,2,,1,1,,,1,1,,,,1,,
course,NW,2,1,,,1,,,,1,1,1,,,
course,WetMeth,2,,1,1,,,,,,,,,,
course,Inform,1,,1,1,,1,,1,,,,,1,
,,,,,,,,,,,,,,,
,Nedl,4,1,1,1,1,1,1,1,1,1,1,1,1,1
course,Frans3,3,1,1,1,,1,,1,,,1,1,1,1
course,Frans4,4,,,,1,,1,,1,1,,,,
course,FransXtra,1,,,,,,,,1,,,,,
course,Engels2,2,,1,1,,1,,1,,,1,1,1,1
course,Engels3,3,1,,,1,,1,,1,1,,,,
course,Duits3,3,,,,1,,1,,1,1,,,,
course,Spaans,3,,,,,,,,1,,,,,
course,TTTR1,1,,,,,,,,1,1,1,,,
course,TTTRXtra,1,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,
course,econ,5,,,,1,1,,,,,,,,
course,Latijn4,4,,,,,,,,,1,1,1,1,1
course,LatijnXtra,1,,,,,,,,,1,1,1,1,
course,Grieks,4,,,,,,,,,,1,,,
,SGW,5,1,,,,,,,,,,,,
,filosofie,2,1,,,,,,,,,,,,
,KB,2,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,godsd,2,1,1,1,1,1,1,1,1,1,1,1,1,1
,gesch,2,1,1,1,1,1,1,1,1,1,1,1,1,1
,lo,2,1,1,1,1,1,1,1,1,1,1,1,1,1
