type,,,,class,class,class,class,class,class,class,class,class,class,class,class,class,aantal cursussen,aantal lln per cursus,aantal lln,constraint,,constraint,
,naam,,5HUWA,5HUWB,5WWI6A,5WWI6B,5EMT,5EWI,5MWE,5WWI8,5MT,5LMT,5GL,5LWE,5LWI6,5LWI8,,,,vaklokalen,aantal lkr,leerkracht,
,,aantal,19,12,11,10,7,9,3,9,6,6,3,3,1,1,4 sowieso erbij,,100,,,,"Nathan, Linde, Milan en Rein"
,,eventueel extra met BP,,,4,4,,1,,,,,,,,,5 BP erbij misschien? 2 bijgeteld,,9,,,,
,,eventueel extra met C,,,,,0,,0,,1,,,,,,1 C-attest erbij misschien?,,,,,,
group,klasgroep1,,1,,,,,,,,,,,,,,105,,19,,,,
group,klasgroep2,,,1,,,,,1,,,,1,,1,1,,,20,,,,
group,klasgroep3,,,,1,,,1,,,,,,,,,,,20,,,,
group,klasgroep4,,,,,1,1,,,,,,,1,,,,,20,,,,
group,klasgroep5,,,,,,,,,1,1,1,,,,,,,21,100,,,
,,,,,,,,,,,,,,,,,,,,,,,
course,wisk3a,3,,,,,,,,,1,1,,,,,1,12,12,,,Els,
course,wisk3b,3,1,1,,,,,,,,,,,,,1,0,0,,,Els,
course,wisk4,4,,,,,1,,1,,,,1,1,,,1,0,0,,,Anne,
course,wisk6,6,,,1,1,,1,,,,,,,1,,1,9,9,,,Ellen + ...,
course,wisk8,8,,,,,,,,1,,,,,,1,1,0,0,,,Annemie + Ellen,
course,stat,1,1,1,,,,,,,,,,,,,1,0,0,,,Els,
,,,,,,,,,,,,,,,,,1,0,0,,,,
course,fys1,1,,,,,,1,,,,,,,1,1,1,1,1,fys,,,
course,fys2,2,,,1,1,,,1,1,,,,1,,,1,8,8,fys,,,
course,chemie2a,2,,,,,,1,,,,,,,1,1,1,1,1,chem,,Nancy,
course,chemie2b,2,,,1,1,,,1,1,,,,1,,,1,8,8,chem,,Nancy,
course,bio1,1,,,,,,1,,,,,,,1,1,1,1,1,bio,,Corry,
course,bio2,2,,,1,1,,,1,1,,,,1,,,1,8,8,bio,,Corry,
course,aard1,1,1,1,,,1,1,,,1,1,1,,1,1,1,1,1,aard,,Annelies,
course,aard2,2,,,1,1,,,1,1,,,,1,,,1,8,8,aard,,Annelies,
course,NW,2,1,1,,,1,,,,1,1,1,,,,1,0,0,,,,
course,WetMeth,2,,,1,1,,,,,,,,,,,1,8,8,,,Celine,
course,Inform,1,,,1,1,,1,,1,,,,,1,,1,9,9,,,Geert,
,,,,,,,,,,,,,,,,,,,0,,,,
,Nedl,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,,,,
course,Frans3,3,1,1,1,1,,1,,1,,,1,1,1,1,1,9,9,,,,
course,Frans4,4,,,,,1,,1,,,1,,,,,1,0,0,,,,
course,Frans5,5,,,,,,,,,1,,,,,,1,0,0,,,,
course,Engels2,2,,,1,1,,1,,1,,,1,1,1,1,1,9,9,,,,
course,Engels3,3,1,1,,,1,,1,,1,1,,,,,1,0,0,,,,
course,Duits3,3,,,,,1,,1,,1,1,,,,,1,0,0,,,,
course,Spaans,3,,,,,,,,,1,,,,,,1,0,0,,,,
course,TTTR1,1,,,,,,,,,1,1,1,,,,1,0,0,,,,
course,TTTRXtra,1,,,,,,,,,1,,,,,,1,0,0,,,,
,,,,,,,,,,,,,,,,,,,0,,,,
course,econ,5,,,,,1,1,,,,,,,,,1,1,1,,,,
course,Latijn4,4,,,,,,,,,,1,1,1,1,1,1,0,0,,,,
course,LatijnXtra,1,,,,,,,,,,1,1,1,1,,1,0,0,,,,
course,Grieks,4,,,,,,,,,,,1,,,,1,0,0,,,,
,SGW,5,1,1,,,,,,,,,,,,,1,0,0,,,,
,filosofie,2,1,1,,,,,,,,,,,,,1,0,0,,,,
,KB,2,1,1,,,,,,,,,,,,,1,0,0,,,,
,,,,,,,,,,,,,,,,,,,0,,,,
,godsd,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,,,,
,gesch,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,lo,,,
,lo,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,lo,,Elke,
,,,,,,,,,,,,,,,,,,,,,,,
,TOTAAL,,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,
