type,,,class,class,class,class,class,class,class,class,class,class,class,class
,naam,,6HUW,6EMT,6EWI,6WWI6,6WWI8,6MWE,6MT,6LMT,6GL,6LWE,6LWI6,6LWI8
,,aantal,24,4,11,13,15,3,8,2,0,2,2,3
group,klasgroep1,,1,,,,,,,,,,,
group,klasgroep2,,,,,,1,,,1,,,1,1
group,klasgroep3,,,1,1,,,,1,,,,,
group,klasgroep4,,,,,1,,1,,,,1,,
,,,,,,,,,,,,,,
course,wisk3a,3,,,,,,,1,1,,,,
course,wisk3b,3,1,,,,,,,,,,,
course,wisk4,3,,1,,,,1,,,,1,,
course,wisk6,5,,,1,1,,,,,,,1,
course,wisk8,7,,,,,1,,,,,,,1
course,stat,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,
course,fys2a,2,,,1,,,,,,,,1,1
course,fys2b,2,,,,1,1,1,,,,1,,
course,chemie1,1,,,1,,,,,,,,1,1
course,chemie2,2,,,,1,1,1,,,,1,,
course,bio1,1,,,1,,,,,,,,1,1
course,bio2,2,,,,1,1,1,,,,1,,
course,aard1,1,1,1,1,,,,1,1,,,1,1
course,aard2,2,,,,1,1,1,,,,1,,
course,NW,2,1,1,,,,,1,1,,,,
course,WetMeth,1,,,,1,,,,,,,,
,Inform,1,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Nedl,3,1,1,1,1,1,1,1,1,,1,1,1
course,Frans3,3,1,,1,1,1,,,,,1,1,1
course,Frans4,4,,1,,,,1,1,1,,,,
course,FransXtra,0,,,,,,,,,,,,
course,Engels2,2,1,,1,1,1,,,,,1,1,1
course,Engels3,3,,1,,,,1,1,1,,,,
course,Duits2,2,,1,,,,1,1,1,,,,
course,DuitsXtra,1,,,,,,,1,1,,,,
course,Spaans,3,,,,,,,1,,,,,
,,,,,,,,,,,,,,
course,econ,4,,1,1,,,,,,,,,
course,Latijn,3,,,,,,,,1,,1,1,1
,Grieks,4,,,,,,,,,,,,
course,SGW,4,1,,,,,,,,,,,
course,filosofie,2,1,,,,,,,,,,,
course,KB,2,1,,,,,,,,,,,
,,,,,,,,,,,,,,
course,esth,1,,,,1,,,1,1,,,1,
,,,,,,,,,,,,,,
,godsd,1,1,1,1,1,1,1,1,1,,1,1,1
,gesch,2,1,1,1,1,1,1,1,1,,1,1,1
,lo,2,1,1,1,1,1,1,1,1,,1,1,1
,PZW3,3,1,1,1,1,1,1,1,1,,1,1,1
course,PZWXtraa,1,,1,1,,,,,,,,,
course,PZWXtrab,1,,,,,,,,,,1,,
course,PZWXtrac,1,,,,,,,,,,,1,1
course,VISIE,1,1,1,1,1,1,1,1,1,,1,1,
